时间,时间维度,南方电网,广东,广西,云南,海南,贵州,天生桥及龙滩,指标单位
2019-07-07,日,1409456.00000000,134114.00000000,156204.00000000,774753.00000000,8013.00000000,251243.00000000,85129.00000000,MWh
2019-07-08,日,1438619.00000000,137536.00000000,146353.00000000,817375.00000000,8323.00000000,259436.00000000,69596.00000000,MWh
2019-07-09,日,1525861.00000000,135717.00000000,133876.00000000,901529.00000000,8006.00000000,278794.00000000,67939.00000000,MWh
2019-07-10,日,1461337.00000000,132496.00000000,126628.00000000,877358.00000000,6647.00000000,249965.00000000,68243.00000000,MWh
2019-07-11,日,1425768.00000000,135832.00000000,131704.00000000,819374.00000000,6708.00000000,237212.00000000,94938.00000000,MWh
2019-07-12,日,1491793.00000000,136778.00000000,146027.00000000,868727.00000000,7087.00000000,237431.00000000,95743.00000000,MWh
2019-07-13,日,1543278.00000000,135957.00000000,146898.00000000,900098.00000000,7088.00000000,256333.00000000,96904.00000000,MWh
2019-07-14,日,1513538.00000000,138589.00000000,136387.00000000,892133.00000000,7991.00000000,256332.00000000,82106.00000000,MWh
2019-07-15,日,1560783.00000000,131843.00000000,131287.00000000,931503.00000000,8938.00000000,258513.00000000,98699.00000000,MWh
2019-07-16,日,1645927.00000000,129818.00000000,133350.00000000,998860.00000000,6888.00000000,268616.00000000,108395.00000000,MWh
2019-07-17,日,1654552.00000000,121421.00000000,138123.00000000,1023835.00000000,7197.00000000,249831.00000000,114145.00000000,MWh
2019-07-18,日,1631849.00000000,113176.00000000,147013.00000000,1014831.00000000,6308.00000000,235681.00000000,114840.00000000,MWh
2019-07-19,日,1649187.00000000,111373.00000000,151512.00000000,1019376.00000000,7713.00000000,249433.00000000,109780.00000000,MWh
2019-07-20,日,1651070.00000000,120172.00000000,148367.00000000,1014867.00000000,5261.00000000,255608.00000000,106795.00000000,MWh
2019-07-21,日,1616584.00000000,122507.00000000,150954.00000000,1000934.00000000,4897.00000000,240957.00000000,96335.00000000,MWh
2019-07-22,日,1599970.00000000,121322.00000000,157141.00000000,965952.00000000,4537.00000000,250131.00000000,100887.00000000,MWh
2019-07-23,日,1634600.00000000,128673.00000000,156931.00000000,972665.00000000,4491.00000000,253022.00000000,118818.00000000,MWh
2019-07-24,日,1659804.00000000,126104.00000000,169454.00000000,983476.00000000,5041.00000000,248224.00000000,127505.00000000,MWh
2019-07-25,日,1645838.00000000,118054.00000000,171469.00000000,971251.00000000,4791.00000000,246601.00000000,133672.00000000,MWh
2019-07-26,日,1643580.00000000,109041.00000000,169873.00000000,969005.00000000,5617.00000000,262684.00000000,127360.00000000,MWh
2019-07-27,日,1653192.00000000,101391.00000000,170789.00000000,988346.00000000,5619.00000000,259943.00000000,127104.00000000,MWh
2019-07-28,日,1590096.00000000,95513.00000000,168598.00000000,959120.00000000,5604.00000000,237071.00000000,124190.00000000,MWh
2019-07-29,日,1613934.00000000,95513.00000000,164151.00000000,965063.00000000,4321.00000000,256467.00000000,128419.00000000,MWh
2019-07-30,日,1644740.00000000,97892.00000000,159013.00000000,997105.00000000,5290.00000000,256305.00000000,129135.00000000,MWh
2019-07-31,日,1577983.00000000,100865.00000000,159762.00000000,958151.00000000,4504.00000000,229643.00000000,125058.00000000,MWh
2019-08-01,日,1492166.00000000,108382.00000000,153500.00000000,895823.00000000,5327.00000000,225938.00000000,103196.00000000,MWh
2019-08-02,日,1509323.00000000,108340.00000000,156439.00000000,915881.00000000,8072.00000000,218480.00000000,102111.00000000,MWh
2019-08-03,日,1524825.00000000,108225.00000000,152628.00000000,934253.00000000,7098.00000000,221555.00000000,101066.00000000,MWh
2019-08-04,日,1436713.00000000,106543.00000000,144573.00000000,858441.00000000,5977.00000000,220840.00000000,100339.00000000,MWh
2019-08-05,日,1549123.00000000,98137.00000000,134515.00000000,961653.00000000,7060.00000000,238689.00000000,109069.00000000,MWh
